cell_type cell_id component component_id X Y Z inner_radius outer_radius
axon 2 axon 0 1.65177 12.5582 0.601035 2.64415 2.64415
axon 2 axon 0 1.65177 12.5582 1.20207 2.64375 2.64375
axon 2 axon 0 1.65177 12.5582 1.80311 2.64334 2.64334
axon 2 axon 0 1.65177 12.5582 2.40414 2.64294 2.64294
axon 2 axon 0 1.65177 12.5582 3.00696 2.64531 2.64531
axon 2 axon 0 1.65177 12.5582 3.60978 2.64768 2.64768
axon 2 axon 0 1.65177 12.5582 4.21261 2.65005 2.65005
axon 2 axon 0 1.65177 12.5582 4.81543 2.65242 2.65242
axon 2 axon 0 1.65177 12.5582 5.41825 2.63949 2.63949
axon 2 axon 0 1.65177 12.5582 6.02107 2.62657 2.62657
axon 2 axon 0 1.65177 12.5582 6.62389 2.61365 2.61365
axon 2 axon 0 1.65177 12.5582 7.22672 2.60072 2.60072
axon 2 axon 0 1.65177 12.5582 7.81779 2.59227 2.59227
axon 2 axon 0 1.65177 12.5582 8.40886 2.58382 2.58382
axon 2 axon 0 1.65177 12.5582 8.99994 2.57537 2.57537
axon 2 axon 0 1.65177 12.5582 9.59101 2.56692 2.56692
axon 2 axon 0 1.65177 12.5582 10.1884 2.5823 2.5823
axon 2 axon 0 1.65177 12.5582 10.7858 2.59768 2.59768
axon 2 axon 0 1.65177 12.5582 11.3831 2.61306 2.61306
axon 2 axon 0 1.65177 12.5582 11.9805 2.62845 2.62845
axon 2 axon 0 1.65177 12.5582 12.5779 2.60321 2.60321
axon 2 axon 0 1.65177 12.5582 13.1753 2.57798 2.57798
axon 2 axon 0 1.65177 12.5582 13.7726 2.55275 2.55275
axon 2 axon 0 1.65177 12.5582 14.37 2.52751 2.52751
axon 2 axon 0 1.65177 12.5582 14.9444 2.50825 2.50825
axon 2 axon 0 1.65177 12.5582 15.5189 2.48899 2.48899
axon 2 axon 0 1.65177 12.5582 16.0933 2.46973 2.46973
axon 2 axon 0 1.65177 12.5582 16.6677 2.45047 2.45047
axon 2 axon 0 1.69939 12.6298 17.2183 2.45086 2.45086
axon 2 axon 0 1.74702 12.7014 17.7689 2.45124 2.45124
axon 2 axon 0 1.79465 12.7731 18.3195 2.45162 2.45162
axon 2 axon 0 1.84227 12.8447 18.8701 2.45201 2.45201
axon 2 axon 0 1.88998 12.9164 19.4217 2.45306 2.45306
axon 2 axon 0 1.93769 12.9881 19.9732 2.45411 2.45411
axon 2 axon 0 1.9854 13.0599 20.5248 2.45516 2.45516
axon 2 axon 0 2.03311 13.1316 21.0763 2.45621 2.45621
axon 2 axon 0 2.08089 13.2035 21.6287 2.45716 2.45716
axon 2 axon 0 2.12868 13.2753 22.1811 2.45811 2.45811
axon 2 axon 0 2.17646 13.3472 22.7335 2.45905 2.45905
axon 2 axon 0 2.22424 13.419 23.2859 2.46 2.46
axon 2 axon 0 2.27278 13.492 23.847 2.4697 2.4697
axon 2 axon 0 2.32131 13.565 24.4081 2.47939 2.47939
axon 2 axon 0 2.36985 13.6379 24.9692 2.2628 2.2628
